"ID";"dive";"replicate";"Fecha";"Comunidad";"Sitio";"Latitud";"Longitud";"Habitat";"Zonificacion";"TipoProteccion";"ANP";"BuzoMonitor";"HoraInicial";"HoraFinal";"ProfundidadFinal";"Temperatura";"Visibilidad";"Corriente";"Transecto";"Genero";"Especie";"GeneroEspecie";"Sexo";"ClaseT";"Talla";"Abundancia";"Clase";"FM"
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 2 1";2;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Delgado, Samuel";0.465277778;0.494444444;20;30;11;"medium";4;"Paranthias";"colonus";"Paranthias colonus";"";NA;25;36;"fish";"mid-water"
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 2 1";2;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Delgado, Samuel";0.465277778;0.494444444;20;30;11;"medium";4;"Stegastes";"rectifraenum";"Stegastes rectifraenum";"";NA;3;4;"fish";"mid-water"
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 2 1";2;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Delgado, Samuel";0.465277778;0.494444444;20;30;11;"medium";4;"Holacanthus";"passer";"Holacanthus passer";"";NA;20;8;"fish";"mid-water"
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 1 1";1;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Delgado, Samuel";0.465277778;0.494444444;20;30;11;"medium";10;"Bodianus";"diplotaenia";"Bodianus diplotaenia";"";NA;5;20;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 1 1";1;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Delgado, Samuel";0.465277778;0.494444444;20;30;11;"medium";10;"Bodianus";"diplotaenia";"Bodianus diplotaenia";"";NA;15;1;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 1 1";1;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Delgado, Samuel";0.465277778;0.494444444;20;30;11;"medium";10;"Bodianus";"diplotaenia";"Bodianus diplotaenia";"";NA;30;1;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 1 1";1;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Delgado, Samuel";0.465277778;0.494444444;20;30;11;"medium";10;"Chromis";"atrilobata";"Chromis atrilobata";"";NA;5;75;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 1 1";1;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Delgado, Samuel";0.465277778;0.494444444;20;30;11;"medium";10;"Haemulon";"sexfasciatum";"Haemulon sexfasciatum";"";NA;25;1;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 1 1";1;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Delgado, Samuel";0.465277778;0.494444444;20;30;11;"medium";10;"Halichoeres";"dispilus";"Halichoeres dispilus";"";NA;8;18;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 1 1";1;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Delgado, Samuel";0.465277778;0.494444444;20;30;11;"medium";10;"Abudefduf";"troscheli";"Abudefduf troscheli";"";NA;10;2;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 1 1";1;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Delgado, Samuel";0.465277778;0.494444444;20;30;11;"medium";10;"Cephalopholis";"panamensis";"Cephalopholis panamensis";"";NA;20;3;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 1 1";1;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Delgado, Samuel";0.465277778;0.494444444;20;30;11;"medium";10;"Johnrandalia";"nigrirostris";"Johnrandalia nigrirostris";"";NA;15;1;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 1 1";1;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Delgado, Samuel";0.465277778;0.494444444;20;30;11;"medium";10;"Paranthias";"colonus";"Paranthias colonus";"";NA;15;27;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 1 1";1;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Delgado, Samuel";0.465277778;0.494444444;20;30;11;"medium";10;"Paranthias";"colonus";"Paranthias colonus";"";NA;25;17;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 1 1";1;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Delgado, Samuel";0.465277778;0.494444444;20;30;11;"medium";10;"Serranus";"psittacinus";"Serranus psittacinus";"";NA;10;1;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 1 1";1;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Delgado, Samuel";0.465277778;0.494444444;20;30;11;"medium";10;"Lutjanus";"argentiventris";"Lutjanus argentiventris";"";NA;25;2;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 1 1";1;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Delgado, Samuel";0.465277778;0.494444444;20;30;11;"medium";10;"Chromis";"limbaughi";"Chromis limbaughi";"";NA;3;17;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 1 1";1;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Delgado, Samuel";0.465277778;0.494444444;20;30;11;"medium";10;"Pomacanthus";"zonipectus";"Pomacanthus zonipectus";"";NA;30;1;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 1 1";1;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Delgado, Samuel";0.465277778;0.494444444;20;30;11;"medium";10;"Calamus";"brachysomus";"Calamus brachysomus";"";NA;20;8;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 1 2";1;2;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Delgado, Samuel";0.465277778;0.494444444;20;30;11;"medium";11;"Stegastes";"rectifraenum";"Stegastes rectifraenum";"";NA;5;3;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 1 2";1;2;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Delgado, Samuel";0.465277778;0.494444444;20;30;11;"medium";11;"Holacanthus";"passer";"Holacanthus passer";"";NA;20;14;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 1 2";1;2;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Delgado, Samuel";0.465277778;0.494444444;20;30;11;"medium";11;"Bodianus";"diplotaenia";"Bodianus diplotaenia";"";NA;20;13;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 1 2";1;2;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Delgado, Samuel";0.465277778;0.494444444;20;30;11;"medium";11;"Chromis";"atrilobata";"Chromis atrilobata";"";NA;5;40;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 1 2";1;2;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Delgado, Samuel";0.465277778;0.494444444;20;30;11;"medium";11;"Haemulon";"maculicauda";"Haemulon maculicauda";"";NA;20;1;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 1 2";1;2;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Delgado, Samuel";0.465277778;0.494444444;20;30;11;"medium";11;"Mycteroperca";"rosacea";"Mycteroperca rosacea";"";NA;35;1;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 1 2";1;2;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Delgado, Samuel";0.465277778;0.494444444;20;30;11;"medium";11;"Paranthias";"colonus";"Paranthias colonus";"";NA;15;2;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 1 2";1;2;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Delgado, Samuel";0.465277778;0.494444444;20;30;11;"medium";11;"Cephalopholis";"panamensis";"Cephalopholis panamensis";"";NA;15;1;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 1 2";1;2;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Delgado, Samuel";0.465277778;0.494444444;20;30;11;"medium";11;"Epinephelus";"labriformis";"Epinephelus labriformis";"";NA;15;1;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 1 2";1;2;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Delgado, Samuel";0.465277778;0.494444444;20;30;11;"medium";11;"Pomacanthus";"zonipectus";"Pomacanthus zonipectus";"";NA;30;1;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 1 3";1;3;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Delgado, Samuel";0.465277778;0.494444444;20;30;11;"medium";12;"Paranthias";"colonus";"Paranthias colonus";"";NA;15;15;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 1 3";1;3;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Delgado, Samuel";0.465277778;0.494444444;20;30;11;"medium";12;"Paranthias";"colonus";"Paranthias colonus";"";NA;25;65;"fish";"near_bottom"
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 1 3";1;3;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Delgado, Samuel";0.465277778;0.494444444;20;30;11;"medium";12;"Stegastes";"rectifraenum";"Stegastes rectifraenum";"";NA;5;8;"fish";"near_bottom"
